ho,juvenil_yeojohnson,temperatura(°c)_mean,salinidad(ppt)_mean,juvenil,tipo_Farmacológico,tipo_Farmacológico + No farmacológico,tipo_No farmacológico,tipo_Sin tratamiento,semana_1,semana_2,semana_3,semana_4,semana_5,semana_6,semana_7,semana_8,semana_9,semana_10,semana_11,semana_12,semana_13,semana_14,semana_15,semana_16,semana_17,semana_18,semana_19,semana_20,semana_21,semana_22,semana_23,semana_24,semana_25,semana_26,semana_27,semana_28,semana_29,semana_30,semana_31,semana_32,semana_33,semana_34,semana_35,semana_36,semana_37,semana_38,semana_39,semana_40,semana_41,semana_42,semana_43,semana_44,semana_45,semana_46,semana_47,semana_48,semana_49,semana_50,semana_51,semana_52,semana_53,lambda
Alto,1.5248265851448306,10.066666666666666,29.333333333333332,8.037777777777777,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.52193663228912,9.666666666666666,30.333333333333332,7.9672222222222215,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.5190181548536208,9.466666666666669,30.333333333333332,7.896666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.4505902148908691,9.5,29.333333333333332,6.423333333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.5342744021440748,9.6,29.666666666666668,8.273333333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.5768798012949317,9.6,29.666666666666668,9.436666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.5558202880015226,9.716666666666669,30.0,8.840000000000002,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.5560644217420876,10.0,31.5,8.846666666666668,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.556308347376043,10.0,31.5,8.853333333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
Alto,1.556552065208452,10.35,31.5,8.86,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-0.38749281405800484
